iter	Passed	Remaining
0	168	168592
1	170	84979
2	171	57054
3	173	43179
4	177	35303
5	180	29838
6	182	25909
7	184	22816
8	191	21112
9	195	19346
10	198	17814
11	199	16451
12	203	15423
13	204	14426
14	208	13684
15	210	12917
16	214	12386
17	216	11832
18	218	11289
19	224	10980
20	229	10678
21	234	10416
22	237	10087
23	239	9724
24	240	9383
25	243	9118
26	244	8825
27	251	8727
28	255	8556
29	257	8317
30	262	8199
31	264	7990
32	266	7800
33	267	7608
34	272	7525
35	276	7416
36	278	7260
37	281	7134
38	285	7028
39	287	6908
40	289	6774
41	295	6734
42	298	6644
43	300	6534
44	302	6419
45	304	6307
46	305	6199
47	307	6106
48	310	6020
49	311	5921
50	313	5831
51	320	5847
52	322	5769
53	328	5751
54	332	5709
55	333	5628
56	337	5588
57	339	5514
58	342	5467
59	348	5457
60	350	5389
61	357	5404
62	358	5337
63	360	5279
64	363	5230
65	365	5177
66	367	5120
67	369	5066
68	372	5019
69	373	4966
70	381	4995
71	383	4944
72	390	4953
73	392	4908
74	396	4890
75	398	4844
76	399	4794
77	401	4745
78	403	4703
79	405	4667
80	408	4634
81	412	4617
82	414	4580
83	416	4539
84	418	4507
85	423	4502
86	425	4467
87	429	4451
88	431	4419
89	434	4393
90	436	4358
91	440	4343
92	441	4309
93	444	4287
94	449	4282
95	452	4262
96	454	4233
97	457	4213
98	460	4191
99	466	4196
100	468	4165
101	469	4136
102	472	4117
103	476	4101
104	477	4071
105	479	4043
106	483	4031
107	487	4026
108	489	3997
109	491	3975
110	494	3956
111	495	3929
112	500	3926
113	502	3908
114	504	3884
115	511	3898
116	517	3903
117	522	3906
118	524	3879
119	525	3854
120	528	3842
121	531	3826
122	533	3803
123	538	3804
124	544	3813
125	548	3807
126	550	3783
127	551	3758
128	557	3765
129	563	3773
130	570	3781
131	580	3817
132	583	3805
133	585	3782
134	588	3771
135	593	3768
136	595	3753
137	597	3729
138	602	3732
139	605	3720
140	608	3707
141	612	3699
142	615	3689
143	618	3674
144	620	3660
145	622	3640
146	625	3628
147	628	3615
148	632	3611
149	637	3613
150	640	3602
151	652	3641
152	664	3675
153	666	3659
154	672	3664
155	676	3660
156	679	3647
157	684	3649
158	692	3661
159	694	3648
160	697	3634
161	702	3633
162	706	3628
163	709	3616
164	715	3619
165	720	3617
166	727	3627
167	730	3616
168	736	3623
169	743	3628
170	749	3635
171	754	3631
172	760	3637
173	787	3739
174	792	3734
175	794	3721
176	800	3721
177	805	3717
178	809	3712
179	811	3696
180	812	3677
181	814	3659
182	826	3688
183	828	3674
184	834	3677
185	837	3663
186	839	3650
187	840	3632
188	842	3615
189	844	3599
190	846	3583
191	847	3567
192	849	3551
193	851	3537
194	852	3521
195	854	3506
196	856	3490
197	858	3475
198	860	3464
199	862	3450
200	864	3436
201	866	3421
202	867	3406
203	869	3392
204	871	3379
205	873	3366
206	878	3365
207	880	3352
208	882	3339
209	884	3326
210	886	3315
211	888	3301
212	890	3289
213	891	3275
214	893	3264
215	897	3256
216	899	3244
217	901	3232
218	902	3220
219	905	3209
220	907	3197
221	909	3188
222	912	3178
223	914	3166
224	916	3155
225	918	3146
226	920	3134
227	922	3124
228	925	3115
229	927	3104
230	928	3092
231	930	3081
232	932	3070
233	935	3061
234	936	3049
235	938	3038
236	940	3026
237	942	3016
238	944	3006
239	945	2995
240	947	2983
241	949	2975
242	951	2965
243	953	2955
244	956	2947
245	958	2937
246	960	2927
247	962	2919
248	965	2910
249	966	2900
250	968	2891
251	971	2882
252	973	2874
253	975	2865
254	977	2856
255	979	2847
256	981	2837
257	983	2827
258	985	2818
259	987	2809
260	989	2800
261	990	2790
262	992	2781
263	994	2773
264	996	2764
265	999	2758
266	1002	2751
267	1004	2742
268	1006	2735
269	1008	2725
270	1010	2717
271	1011	2707
272	1013	2699
273	1015	2689
274	1017	2681
275	1019	2675
276	1021	2665
277	1023	2658
278	1025	2650
279	1027	2642
280	1029	2633
281	1030	2624
282	1032	2615
283	1035	2610
284	1037	2602
285	1039	2594
286	1040	2585
287	1042	2578
288	1045	2572
289	1047	2563
290	1049	2556
291	1050	2547
292	1052	2539
293	1053	2530
294	1055	2523
295	1059	2519
296	1061	2511
297	1062	2503
298	1064	2495
299	1065	2486
300	1067	2478
301	1069	2471
302	1071	2463
303	1073	2456
304	1075	2449
305	1077	2442
306	1079	2436
307	1080	2428
308	1082	2420
309	1084	2414
310	1086	2406
311	1088	2399
312	1090	2392
313	1091	2384
314	1093	2377
315	1095	2372
316	1097	2364
317	1099	2358
318	1101	2351
